АРЗ,аварийно-ремонтный (е) затвор(ы)
АРМ,автоматизированное рабочее место
АРМ ДП,автоматизированное рабочее место дежурного персонала станции
АРЧМ,автоматическое регулирование частоты вращения и мощности турбины
АСУТП,автоматизированная система управления технологическим процессом
АИИСКУЭ,автоматизированная система контроля и учета электроэнергии
АСПТ,Автоматизированная система пожаротушения
АПС,Автоматическая пожарная сигнализация
ВК,вибрационный к онтроль
ЗИП,запасные части, инструменты и приборы
КРУ,комплектное распределительное устройство
КТС,комплекс(ы) технических средств
ЛВС,локальная вычислительная сеть
МИП,многофункциональные цифровые измерительные преобразователи и приборы
МО,математическое обеспечение
МП,РЗиА	микропроцессорная релейная защита и автоматика
МСЭ,межсетевые экраны
МТЗ,максимальная токовая защита
ОК,оптический кабель
ОПО,общее программное обеспечение
ОРЭМ,оптовый рынок электрической энергии и мощности
ПА,противоаварийная автоматика
ПТК,программно-технический комплекс
ПО,программное обеспечение
ПОБИ,программа обеспечения безопасности информации
РС,рабочая станция
РЩУ,резервный щит управления
САБД,сервер архивирования и баз данных
САУ,система автоматизированного управления
СБ,сервер блока
СВД,система вибрационной диагностики гидроагрегата
СЗВ,сегментный затвор водосброса
СКС,структурированная кабельная сеть
СОЕВ,система обеспечения единого времени
СОН,сеть (ЛВС) общего назначения
СОПТ,система оперативного постоянного тока
СОУЭ,система оповещения и управления эвакуацией людей при пожаре
СПО,специальное программное обеспечение
СУВ,система управления возбуждения генератора
СБП,система бесперебойного питания и распределения оперативного тока
ТК,тепловой контроль
ТМ,телемеханика
УСО,устройство связи с объектом
УСПД,устройство сбора и передачи данных
ЦПУ,центральный пульт управления
ЦСЭ,цифровой счетчик электроэнергии
ЧМИ,человеко-машинный интерфейс
ШСО,шкаф сетевого оборудования
ЩПТ,щит постоянного тока
ЩСН,щит собственных нужд
ЭГР,электрогидравлический регулятор
ЭМС,электромагнитная совместимость